Download Time:2026/05/18 12:14:26,Search Date:2000/01/01 - 2012/01/01 Magnitude(min):4.5 
Origin Time,Latitude[degree],Longitude[degree],Depth[km],Magnitude,Max Acc[gal],Max Vel[cm/s],Seismic Intensity,Number of stations
2011/05/19 18:12:00,37.1690,142.8510,42,5.5,7.1,0.4,1.7,20
2011/05/19 17:32:00,38.3250,141.7790,60,4.8,113.3,1.6,3.0,101
2011/05/17 03:05:00,36.4750,137.6410,2,4.5,42.6,0.7,2.2,59
2011/05/17 00:53:00,37.3740,141.3000,35,4.6,121.9,2.2,2.8,87
2011/05/16 04:07:00,38.6250,141.9370,48,4.7,79.1,1.7,2.8,50
2011/05/15 21:32:00,39.7620,142.7340,31,4.7,15.8,0.4,1.9,42
2011/05/15 21:14:00,37.2840,142.5590,68,5.3,20.0,1.2,2.6,136
2011/05/15 19:25:00,37.0670,142.4960,6,5.1,6.3,0.3,1.5,9
2011/05/15 08:51:00,37.6520,141.5850,48,5.1,68.4,2.5,3.6,132
2011/05/15 07:30:00,42.8500,146.3160,48,5.0,29.7,0.8,2.6,44
2011/05/15 00:01:00,37.4070,141.3200,28,4.6,41.6,1.1,2.7,65
2011/05/14 08:36:00,37.3240,141.6310,41,5.9,105.3,3.5,3.9,388
2011/05/14 06:49:00,35.9540,141.1060,29,4.7,42.4,1.5,2.6,96
2011/05/13 01:21:00,39.6600,142.1420,49,4.7,87.3,2.0,3.1,85
2011/05/12 03:21:00,38.5250,141.8170,50,4.6,70.9,1.1,2.7,66
2011/05/11 05:24:00,35.6700,141.0150,23,4.7,92.8,3.2,3.4,54
2011/05/10 19:14:00,36.2220,141.8650,58,5.4,20.1,0.7,2.6,27
2011/05/10 08:38:00,36.6950,140.6400,6,4.5,71.1,2.7,3.5,56
2011/05/10 05:15:00,37.7920,143.6210,45,5.6,9.3,0.3,1.7,66
2011/05/08 19:43:00,37.6470,141.5910,46,4.7,77.4,1.8,3.3,81
2011/05/08 07:11:00,37.1050,140.7760,4,4.5,31.0,0.9,2.7,56
2011/05/08 05:52:00,40.2400,142.5040,34,5.7,98.9,3.2,3.8,198
2011/05/07 13:35:00,37.7420,139.9350,8,4.6,306.7,10.4,3.9,97
2011/05/06 14:15:00,39.0740,142.2340,44,4.7,68.7,1.2,2.6,52
2011/05/06 08:21:00,26.0780,128.6740,35,5.6,7.4,0.9,2.2,5
2011/05/06 02:04:00,37.0950,140.8110,6,5.2,87.4,4.7,3.7,109
2011/05/05 23:58:00,38.2090,144.1220,42,6.1,28.1,0.9,2.7,305
2011/05/05 19:20:00,36.8450,140.5850,8,4.5,258.1,9.0,4.4,69
2011/05/04 14:41:00,40.8420,141.4170,92,4.6,59.9,1.9,3.2,99
2011/05/03 22:57:00,37.0090,140.5880,8,4.5,220.8,3.9,3.6,68
2011/05/03 22:36:00,38.8000,142.0460,47,4.8,104.6,1.7,2.7,75
2011/05/03 06:26:00,40.0540,142.7260,31,5.1,18.2,1.4,2.8,100
2011/05/02 21:36:00,38.3100,142.2360,38,4.7,37.5,0.8,2.5,68
2011/05/02 11:09:00,37.6490,141.6030,48,4.7,59.5,1.6,2.6,57
2011/05/01 11:48:00,37.4200,141.2110,29,4.6,106.7,2.5,3.3,88
2011/05/01 10:27:00,35.8920,140.8560,39,4.5,59.0,2.6,2.8,15
2011/05/01 02:12:00,36.3850,141.0080,21,4.9,87.5,2.8,3.6,127
2011/04/30 15:04:00,36.7640,141.2510,37,4.6,59.7,1.7,3.2,32
2011/04/30 14:47:00,37.3320,141.2980,33,4.5,84.1,2.3,3.4,76
2011/04/30 14:06:00,36.7550,141.2830,37,5.3,164.0,9.5,4.3,193
2011/04/30 07:19:00,38.8350,142.1170,44,5.2,74.1,1.8,2.8,90
2011/04/30 02:04:00,35.4540,140.9180,24,4.7,52.2,2.4,2.9,50
2011/04/29 15:54:00,39.3370,142.0670,48,4.8,93.3,2.6,3.5,77
2011/04/29 13:38:00,30.2340,130.9500,44,4.6,28.2,0.9,2.5,16
2011/04/28 18:28:00,37.4100,141.7830,44,5.7,119.8,4.0,4.1,347
2011/04/28 10:44:00,38.5600,141.8940,48,4.8,76.1,2.1,3.0,86
2011/04/28 06:45:00,38.1240,141.7810,53,4.8,128.8,1.5,2.9,101
2011/04/27 19:27:00,36.8170,138.6260,0,4.6,66.3,2.6,3.0,72
2011/04/26 21:12:00,36.0820,139.9780,46,5.0,188.0,5.2,4.1,292
2011/04/26 13:01:00,37.2820,141.2500,13,5.2,44.9,1.7,3.1,98
2011/04/26 08:26:00,42.0200,142.5960,61,4.6,14.1,0.7,2.3,87
2011/04/26 06:16:00,38.3450,141.8740,64,4.5,166.2,2.4,3.2,70
2011/04/25 18:00:00,36.1700,141.0280,39,5.0,134.0,4.5,4.1,153
2011/04/25 06:06:00,35.2220,141.2460,40,5.1,7.8,0.6,2.0,25
2011/04/24 19:09:00,37.0550,140.6410,14,4.5,165.4,6.7,4.4,72
2011/04/23 19:13:00,39.1290,143.0040,35,6.1,67.7,1.8,3.2,307
2011/04/23 08:15:00,36.7050,140.6430,5,4.5,99.1,3.0,3.8,31
2011/04/23 00:25:00,37.1650,141.1960,21,5.4,376.2,11.2,4.5,255
2011/04/22 01:11:00,37.5070,141.4550,48,5.6,201.2,7.4,4.3,362
2011/04/21 22:37:00,35.6720,140.6880,46,6.0,110.2,9.2,4.1,376
2011/04/21 17:18:00,38.3170,142.2360,31,5.2,115.8,2.0,3.2,146
2011/04/21 01:33:00,38.1440,141.7440,55,4.5,61.7,1.4,3.0,70
2011/04/20 09:50:00,37.0220,140.6780,7,4.8,47.7,1.9,2.8,98
2011/04/20 08:07:00,34.1170,140.2500,84,5.0,40.7,1.8,3.2,73
2011/04/19 23:47:00,36.8770,140.8160,8,4.5,119.2,6.2,3.7,40
2011/04/19 23:10:00,36.1650,139.8100,53,5.0,309.3,8.9,4.5,291
2011/04/19 15:53:00,37.0140,140.6530,7,4.6,120.8,3.6,3.6,73
2011/04/19 06:34:00,36.7100,141.4700,37,4.8,18.7,0.6,2.4,39
2011/04/19 04:14:00,39.5990,140.3900,6,4.9,398.1,14.9,4.7,67
2011/04/18 00:47:00,36.9940,141.2830,29,4.8,78.7,2.4,3.3,112
2011/04/17 23:46:00,37.0900,140.8360,7,4.5,27.2,1.5,2.5,19
2011/04/17 21:51:00,37.0620,140.7330,8,4.6,87.9,2.4,3.2,80
2011/04/17 15:49:00,35.8640,140.4660,35,4.6,40.1,1.1,2.5,64
2011/04/17 14:38:00,37.0070,140.6830,7,4.5,62.3,0.9,2.6,61
2011/04/17 13:39:00,35.8640,140.4730,35,4.5,31.5,0.7,2.3,56
2011/04/17 10:38:00,38.6470,142.3740,38,4.8,41.4,0.8,2.5,63
2011/04/17 05:21:00,36.1750,140.9730,52,4.7,58.9,1.6,3.2,114
2011/04/17 05:19:00,37.0940,140.8310,8,4.5,51.2,1.1,2.8,71
2011/04/17 00:56:00,37.0190,138.6910,8,4.9,276.6,6.9,4.1,63
2011/04/16 11:19:00,36.3370,139.9480,79,5.9,413.4,14.8,5.0,507
