Download Time:2026/05/18 12:16:32,Search Date:2012/01/02 - 2024/01/01 Magnitude(min):4.5 
Origin Time,Latitude[degree],Longitude[degree],Depth[km],Magnitude,Max Acc[gal],Max Vel[cm/s],Seismic Intensity,Number of stations
2023/03/20 10:59:00,35.5050,140.9430,35,4.6,24.2,1.1,2.1,26
2023/03/11 05:12:00,42.1950,142.9620,49,4.8,44.0,1.8,3.1,134
2023/03/07 07:24:00,42.3420,144.5960,20,5.0,34.5,1.6,2.9,97
2023/03/02 15:47:00,33.2420,139.4450,14,5.0,35.4,2.1,2.9,3
2023/03/02 15:14:00,43.3700,147.0920,61,4.7,8.6,0.2,1.5,18
2023/02/28 12:55:00,35.8920,140.8730,40,4.5,75.2,3.1,3.0,57
2023/02/25 22:27:00,42.7520,145.0790,63,6.0,287.0,13.5,4.7,381
2023/02/25 19:25:00,27.1260,126.6640,29,4.9,2.4,0.2,0.9,1
2023/02/20 03:55:00,42.7770,143.1990,118,4.9,56.7,2.3,3.4,185
2023/02/17 10:46:00,26.5440,128.7440,24,5.3,11.5,0.4,2.1,7
2023/02/14 03:18:00,42.4800,145.0710,26,4.7,9.4,0.4,1.7,29
2023/02/13 10:02:00,37.7090,141.5400,54,4.8,72.3,1.5,3.0,147
2023/01/29 21:20:00,35.3470,139.2460,144,4.9,38.0,1.5,2.7,238
2023/01/25 10:01:00,37.5870,141.5830,55,5.1,128.3,3.5,3.6,202
2023/01/20 14:48:00,38.8790,142.0970,46,5.0,174.8,2.1,3.0,133
2023/01/18 13:33:00,24.8480,124.9970,14,4.6,21.9,0.5,1.9,2
2023/01/17 16:37:00,43.9660,142.3520,0,4.5,136.2,3.8,3.9,32
2023/01/16 13:50:00,28.9760,139.7360,422,5.9,7.0,0.5,1.9,58
2023/01/16 01:25:00,41.0990,142.4390,46,4.5,38.5,1.2,2.9,100
2023/01/15 20:37:00,25.1090,125.8490,30,5.3,10.1,0.4,1.7,2
2023/01/12 01:19:00,35.4200,141.0330,26,4.7,6.7,0.6,1.8,40
2023/01/08 10:16:00,37.0340,141.3980,40,4.6,81.8,2.2,3.3,165
2023/01/07 23:42:00,37.3900,141.6350,44,4.5,12.4,0.3,1.7,80
2023/01/06 13:44:00,37.5020,137.2760,13,4.5,330.8,11.4,4.5,87
2023/01/03 16:08:00,40.1440,142.6190,37,5.1,28.7,0.7,2.6,121
2022/12/29 09:36:00,29.2440,130.5970,70,4.8,2.0,0.1,1.0,1
2022/12/28 03:51:00,37.7570,141.8000,55,4.6,21.8,0.4,2.0,86
2022/12/18 23:19:00,30.3710,131.2550,31,4.8,20.5,0.9,2.3,19
2022/12/18 16:01:00,26.7960,126.6150,108,4.9,4.9,0.1,1.1,6
2022/12/18 03:06:00,31.7850,131.6350,34,5.4,77.4,5.1,3.9,126
2022/12/13 23:25:00,27.5960,129.4150,37,6.0,17.8,1.2,2.7,6
2022/12/11 18:46:00,37.2070,141.5210,23,4.8,34.6,1.0,2.8,149
